title,words,kind
The Great Gatsby,Miss Baker,person
The Great Gatsby,Jordan,person
The Great Gatsby,dan Baker,person
The Great Gatsby,Doctor,person
The Great Gatsby,Doctor Eckleburg,person
The Great Gatsby,Wilson,person
The Great Gatsby,George Wilson,person
The Great Gatsby,Mrs Wilson,person
The Great Gatsby,John D Rockefeller,person
The Great Gatsby,Catherine,person
The Great Gatsby,Simon Called Peter,person
The Great Gatsby,Simon Called,person
The Great Gatsby,Mrs McKee,person
The Great Gatsby,Ask Myrtle,person
The Great Gatsby,Myrtle Wilson,person
The Great Gatsby,Gilda Gray,person
The Great Gatsby,Jay Gatsby,person
The Great Gatsby,Jordan Baker,person
The Great Gatsby,Roosevelt,person
The Great Gatsby,Mr Gatsby,person
The Great Gatsby,Ladies,person
The Great Gatsby,Vladimir Tostoff,person
The Great Gatsby,Owl Eyes,person
The Great Gatsby,Murray Hill Hotel,person
The Great Gatsby,Doctor Webster Civet,person
The Great Gatsby,Hubert Auerbach,person
The Great Gatsby,Edgar Beaver,person
The Great Gatsby,Clarence Endive,person
The Great Gatsby,Maurice A Flink,person
The Great Gatsby,Newton Orchid,person
The Great Gatsby,Eckhaust,person
The Great Gatsby,Clyde Cohen,person
The Great Gatsby,Don,person
The Great Gatsby,Arthur McCarty,person
The Great Gatsby,Earl Muldoon,person
The Great Gatsby,Ed Legros,person
The Great Gatsby,James B,person
The Great Gatsby,Ernest Lillythey,person
The Great Gatsby,George Duckweed,person
The Great Gatsby,Francis Bull,person
The Great Gatsby,Henry L Palmetto,person
The Great Gatsby,Gloria,person
